you	Y UW 
invasions	IH N V EY ZH AH N Z 
invoking	IH N V OW K IH NG 
inwood	IH N W UH D 
irrevocably	IH R EH V AH K AH B L IY 
jabbar	JH AH B AA R 
jazeera	JH AH Z IY R AH 
jeter	JH IY T ER 
johnsons	JH AA N S AH N Z 
joystick	JH OY S T IH K 
kasper	K AE S P ER 
katsumi	K AA T S UW M IY 
killjoy	K IH L JH OY 
kok	K AA K 
lamas	L AA M AH Z 
legwork	L EH G W ER K 
leiter	L AY T ER 
lettering	L EH T ER IH NG 
loma	L OW M AH 
lusting	L AH S T IH NG 
machiavelli	M AA K IY AH V EH L IY 
madero	M AA D EH R OW 
malm	M AA M 
mannequins	M AE N AH K IH N Z 
manufactures	M AE N Y AH F AE K CH ER Z 
massing	M AE S IH NG 
matsubara	M AA T S UW B AA R AH 
mayberry	M EY B EH R IY 
merriam	M EH R IY AH M 
mex	M EH K S 
migrant	M AY G R AH N T 
migrants	M AY G R AH N T S 
minibus	M IH N IY B AH S 
minks	M IH NG K S 
misbehaving	M IH S B AH HH EY V IH NG 
mosely	M OW Z L IY 
mummified	M AH M IH F AY D 
mustered	M AH S T ER D 
nakai	N AA K AA IY 
narco	N AA R K OW 
neckties	N EH K T AY Z 
normalcy	N AO R M AH L S IY 
noyce	N OY S 
numbing	N AH M IH NG 
omission	OW M IH SH AH N 
omni	AA M N IY 
opry	AA P R IY 
orally	AO R AH L IY 
outdid	AW T D IH D 
outgunned	AW T G AH N D 
overactive	OW V ER AE K T IH V 
overwhelmingly	OW V ER W EH L M IH NG L IY 
palfrey	P AE L F R IY 
pallas	P AE L AH S 
pampering	P AE M P ER IH NG 
pander	P AE N D ER 
pease	P IY Z 
pedantic	P AH D AE N T IH K 
pensioner	P EH N SH AH N ER 
peon	P IY AH N 
persisted	P ER S IH S T IH D 
pitted	P IH T AH D 
pontoon	P AA N T UW N 
porco	P AO R K OW 
portraying	P AO R T R EY IH NG 
pos	P AA S 
powerfully	P AW ER F L IY 
premonitions	P R EH M AH N IH SH AH N Z 
priestley	P R IY S T L IY 
proclaiming	P R OW K L EY M IH NG 
pronouncing	P R AH N AW N S IH NG 
puffin	P AH F IH N 
pungent	P AH N JH AH N T 
quarries	K W AO R IY Z 
ravages	R AE V IH JH IH Z 
refresher	R IH F R EH SH ER 
refrigerated	R IH F R IH JH ER EY T IH D 
reims	R IY M Z 
remodeled	R IY M AA D AH L D 
ricks	R IH K S 
roebuck	R OW B AH K 
romer	R OW M ER 
scallop	S K AE L AH P 
schweitzer	SH W AY T S ER 
sichuan	S IH CH W AA N 
silt	S IH L T 
simons	S AY M AH N Z 
sinkhole	S IH NG K HH OW L 
sleuth	S L UW TH 
smartly	S M AA R T L IY 
sobering	S OW B ER IH NG 
sonora	S AH N AO R AH 
sorel	S AO R AH L 
spandex	S P AE N D AH K S 
stendhal	S T EH N D AA L 
stipulated	S T IH P Y AH L EY T IH D 
streep	S T R IY P 
strickland	S T R IH K L AH N D 
stromboli	S T R AA M B OW L IY 
stubbornly	S T AH B ER N L IY 
subdivision	S AH B D IH V IH ZH AH N 
subscribers	S AH B S K R AY B ER Z 
tallyho	T AE L IY HH OW 
tompkins	T AA M P K IH N Z 
tonga	T AA N G AH 
tonne	T AH N 
torrid	T AO R AH D 
townsfolk	T AW N Z F OW K 
twaddle	T W AA D AH L 
twinge	T W IH N JH 
twitches	T W IH CH IH Z 
tyrannical	T ER AE N IH K AH L 
unglued	AH N G L UW D 
unintentionally	AH N IH N T EH N SH AH N AH L IY 
uprooted	AH P R UW T IH D 
valparaiso	V AE L P ER EY S OW 
veneration	V EH N ER EY SH AH N 
verbatim	V ER B EY T AH M 
waddle	W AA D AH L 
wannabes	W AA N AH B IY Z 
watchmen	W AA CH M EH N 
watters	W AA T ER Z 
wavelengths	W EY V L EH NG TH S 
weitzman	W AY T S M AH N 
whitehouse	W AY T HH AW S 
wigwam	W IH G W AA M 
wording	W ER D IH NG 
worsening	W ER S AH N IH NG 
yew	Y UW 
yugoslavian	Y UW G OW S L AA V IY AH N 
zita	Z IY T AH 
abacus	AE B AH K AH S 
accorded	AH K AO R D IH D 
aero	EH R OW 
aerosol	EH R AH S AA L 
affords	AH F AO R D Z 
alexi	AH L EH K S IY 
allyson	AE L IH S AH N 
alt	AA L T 
amman	AE M AH N 
anaesthesia	AE N IH S TH IY ZH IY AH 
animators	AE N AH M EY T ER Z 
antiaircraft	AE N T AY EH R K R AE F T 
antioch	AE N T IY AA K 
appraised	AH P R EY Z D 
arora	AA R AO R AA 
arrowhead	AE R OW HH EH D 
asbury	AE Z B EH R IY 
ashford	AE SH F ER D 
assertion	AH S ER SH AH N 
auditor	AO D IH T ER 
austro	AO S T R OW 
beatty	B IY T IY 
bebop	B IY B AA P 
beckon	B EH K AH N 
beholder	B IY HH OW L D ER 
belcher	B EH L CH ER 
bended	B EH N D IH D 
bested	B EH S T IH D 
bethesda	B AH TH EH Z D AH 
bewildering	B IH W IH L D ER IH NG 
bier	B IY R 
bighorn	B IH G HH AO R N 
biko	B IY K OW 
birdcage	B ER D K EY JH 
blacken	B L AE K AH N 
bloat	B L OW T 
bloodiest	B L AH D IY AH S T 
bluer	B L UW ER 
boulanger	B AW L AH NG ER 
bremer	B R IY M ER 
brewton	B R UW T AH N 
briefings	B R IY F IH NG Z 
brougham	B R UW G AH M 
bruhl	B R AH L 
bryn	B R IH N 
buell	B Y UW AH L 
bushels	B UH SH AH L Z 
butane	B Y UW T EY N 
byzantium	B AH Z AE N T IY AH M 
caesars	S IY Z ER Z 
carmelita	K AA R M AH L IY T AA 
celluloid	S EH L AH L OY D 
centerpiece	S EH N T ER P IY S 
ceylon	S IH L AA N 
chetniks	CH EH T N IH K S 
chopstick	CH AA P S T IH K 
cloe	K L OW 
coincides	K OW IH N S AY D Z 
collage	K AH L AA ZH 
collegiate	K AH L IY JH IH T 
columbian	K OW L AH M B IY AH N 
commuted	K AH M Y UW T IH D 
confrontations	K AA N F R AH N T EY SH AH N Z 
constituted	K AA N S T AH T UW T AH D 
contours	K AA N T UH R Z 
contraceptive	K AA N T R AH S EH P T IH V 
cookout	K UH K AW T 
cordoned	K AO R D AH N D 
corrosion	K ER OW ZH AH N 
counsels	K AW N S AH L Z 
cowgirls	K AW G ER L Z 
craw	K R AO 
cronkite	K R AA NG K AY T 
cuckoos	K UW K UW Z 
cutlass	K AH T L AH S 
dangles	D AE NG G AH L Z 
dargis	D AA R G IH S 
darwinian	D AA R W IH N IY AH N 
dease	D IY S 
denials	D IH N AY AH L Z 
detainee	D IY T EY N IY 
detonating	D EH T AH N EY T IH NG 
dilg	D IH L G 
dimon	D IH M AH N 
disabilities	D IH S AH B IH L AH T IY Z 
discriminating	D IH S K R IH M AH N EY T IH NG 
discusses	D IH S K AH S AH Z 
disheartened	D IH S HH AA R T AH N D 
dispensed	D IH S P EH N S T 
distracts	D IH S T R AE K T S 
doctoring	D AA K T ER IH NG 
dolby	D OW L B IY 
dorcas	D AO R K AH S 
dowdy	D AW D IY 
dreads	D R EH D Z 
dredge	D R EH JH 
dumbbells	D AH M B EH L Z 
editorials	EH D AH T AO R IY AH L Z 
eglantine	EH G L AH N T AY N 
egocentric	IY G OW S EH N T R IH K 
encyclopaedia	IH N S AY K L AH P IY D IY AH 
engages	IH N G EY JH IH Z 
enlistment	EH N L IH S T M AH N T 
enormity	IH N AO R M AH T IY 
epilogue	EH P IH L AO G 
escapees	IH S K EY P IY Z 
everyman	EH V R IY M AH N 
excavating	EH K S K AH V EY T IH NG 
exhilaration	IH G Z IH L ER EY SH AH N 
explanatory	IH K S P L AE N AH T AO R IY 
exuberance	IH G Z UW B ER AH N S 
facets	F AE S AH T S 
falafel	F AH L AA F AH L 
fallopian	F AH L OW P IY AH N 
feelers	F IY L ER Z 
fettes	F EH T S 
fey	F EY 
fledgling	F L EH JH L IH NG 
flinging	F L IH NG IH NG 
flooring	F L AO R IH NG 
flopping	F L AA P IH NG 
flourishes	F L ER IH SH AH Z 
formosa	F AO R M OW S AH 
fothergill	F AH DH ER G IH L 
frustrate	F R AH S T R EY T 
functioned	F AH NG K SH AH N D 
garnier	G AA R N IY ER 
glick	G L IH K 
grands	G R AE N D Z 
gravest	G R AE V AH S T 
grower	G R OW ER 
halfwit	HH AE F W IH T 
handlebars	HH AE N D AH L B AA R Z 
hangovers	HH AE NG OW V ER Z 
hansson	HH AE N S AH N 
harebrained	HH EH R B R EY N D 
havel	HH AE V AH L 
healers	HH IY L ER Z 
hereford	HH EH R AH F ER D 
holistic	HH OW L IH S T IH K 
homeowners	HH OW M OW N ER Z 
honeybee	HH AH N IY B IY 
huntsville	HH AH N T S V IH L 
hyderabad	HH AY D EH R AH B AE D 
identifiable	AY D EH N T AH F AY AH B AH L 
incomes	IH N K AH M Z 
influx	IH N F L AH K S 
informally	IH N F AO R M AH L IY 
inhumanity	IH N HH Y UW M AE N AH T IY 
intercepting	IH N T ER S EH P T IH NG 
interpretations	IH N T ER P R IH T EY SH AH N Z 
jaguars	JH AE G W AA R Z 
jaywalking	JH EY W AO K IH NG 
jazmin	JH AE Z M IH N 
jiggling	JH IH G AH L IH NG 
justices	JH AH S T AH S AH Z 
kennedys	K EH N AH D IY Z 
ker	K ER 
kirkwood	K ER K W UH D 
kitsch	K IH CH 
kjell	K Y EH L 
komsomol	K AA M S OW M AH L 
kron	K R AA N 
laboring	L EY B ER IH NG 
layered	L EY ER D 
leases	L IY S IH Z 
lelia	L IY L Y AH 
lenox	L EH N AH K S 
lessing	L EH S IH NG 
liliane	L IH L IY AE N 
liszt	L IH S T 
loaning	L OW N IH NG 
lobbies	L AA B IY Z 
machetes	M AH SH EH T IY Z 
malena	M AE L IH N AH 
manipulator	M AH N IH P Y AH L EY T ER 
marauder	M ER AO D ER 
marilda	M AA R IY L D AH 
marvelously	M AA R V AH L AH S L IY 
masonry	M EY S AH N R IY 
mcenroe	M AE K AH N R OW 
mcmillan	M AH K M IH L AH N 
meghan	M EH G AH N 
merced	M ER S T 
messaging	M EH S IH JH IH NG 
migs	M IH G Z 
mimosa	M IH M OW S AH 
moneys	M AH N IY Z 
moreland	M AO R L AH N D 
mythic	M IH TH IH K 
nags	N AE G Z 
nakano	N AA K AA N OW 
nakata	N AA K AA T AH 
nanotechnology	N AE N OW T EH K N AA L AH JH IY 
neurosurgery	N UH R OW S ER JH ER IY 
nickleby	N IH K AH L B IY 
nogales	N OW G AA L EH S 
nonviolence	N AA N V AY AH L AH N S 
oaxaca	OW K S AH K AH 
obstructed	AH B S T R AH K T IH D 
okra	OW K R AH 
overriding	OW V ER R AY D IH NG 
painlessly	P EY N L AH S L IY 
painstaking	P EY N S T EY K IH NG 
pandering	P AE N D ER IH NG 
parachuted	P EH R AH SH UW T IH D 
parquet	P AA R K EY 
payout	P EY AW T 
peeped	P IY P T 
pennie	P EH N IY 
philanderer	F AH L AE N D EH R ER 
phobic	F OW B IH K 
plaques	P L AE K S 
plucks	P L AH K S 
porgy	P AO R G IY 
prenuptial	P R IY N AH P SH AH L 
programmers	P R OW G R AE M ER Z 
propositions	P R AA P AH Z IH SH AH N Z 
radiated	R EY D IY EY T IH D 
rationed	R AE SH AH N D 
rayed	R EY D 
receptions	R IH S EH P SH AH N Z 
reclusive	R IH K L UW S IH V 
recompense	R EH K AH M P EH N S 
reestablish	R IY IH S T AE B L IH SH 
reinhold	R AY N HH OW L T 
rescind	R IH S IH N D 
revelry	R EH V AH L R IY 
revolts	R IY V OW L T S 
runways	R AH N W EY Z 
saddlebag	S AE D AH L B AE G 
salinger	S AE L IH N JH ER 
sandstone	S AE N D S T OW N 
satirical	S AH T IH R AH K AH L 
schemer	S K IY M ER 
shandy	SH AE N D IY 
sheehan	SH IY AH N 
shorn	SH AO R N 
sifting	S IH F T IH NG 
sind	S IH N D 
skeletal	S K EH L AH T AH L 
skillfully	S K IH L F AH L IY 
skye	S K AY 
smolensk	S M OW L EH N S K 
snicker	S N IH K ER 
sniping	S N AY P IH NG 
sows	S OW Z 
specialization	S P EH SH AH L AH Z EY SH AH N 
spiky	S P AY K IY 
stalkers	S T AO K ER Z 
stander	S T AE N D ER 
steely	S T IY L IY 
substantiate	S AH B S T AE N CH IY EY T 
suburbia	S AH B ER B IY AH 
subversives	S AH B V ER S IH V Z 
subvert	S AH B V ER T 
surcharge	S ER CH AA R JH 
surfed	S ER F T 
swabs	S W AA B Z 
synchronization	S IH NG K R AH N AH Z EY SH AH N 
taber	T EY B ER 
tannenbaum	T AE N AH N B AW M 
taub	T AW B 
tavernier	T AE V ER N IY ER 
thorax	TH AO R AE K S 
thruster	TH R AH S T ER 
townhouse	T AW N HH AW S 
tuscan	T AH S K AH N 
twang	T W AA NG 
tyne	T AY N 
ubiquitous	Y UW B IH K W IH T AH S 
underdogs	AH N D ER D AO G Z 
underrated	AH N D ER R EY T IH D 
unleashing	AH N L IY SH IH NG 
unmitigated	AH N M IH T AH G EY T IH D 
unnerving	AH N ER V IH NG 
untouchables	AH N T AH CH AH B AH L Z 
vagrants	V EY G R AH N T S 
victorine	V IY K T AO R IY N IY 
visceral	V IH S ER AH L 
waded	W EY D IH D 
warbucks	W AO R B UH K S 
weighty	W EY T IY 
wenke	W EH NG K 
weymouth	W EY M AH TH 
whiteman	W AY T M AH N 
wildman	W AY L D M AH N 
wistful	W IH S T F AH L 
woolworth	W UH L W ER TH 
yesterdays	Y EH S T ER D EY Z 
zabel	Z EY B AH L 
abscess	AE B S EH S 
ached	EY K T 
adnan	AE D N AH N 
aegis	IY JH AH S 
aerosmith	EH R OW S M IH TH 
alberti	AA L B EH R T IY 
alessandra	AE L EH S AE N D R AA 
algerians	AE L JH IY R IY AH N Z 
amity	AE M IH T IY 
analytical	AE N AH L IH T IH K AH L 
ankh	AE N K 
arcane	AA R K EY N 
arouses	ER AW Z IH Z 
aschenbach	AE SH IH N B AA K 
astride	AH S T R AY D 
astrophysics	AE S T R OW F IH Z IH K S 
aviators	EY V IY EY T ER Z 
balle	B EY L 
ballon	B AE L AH N 
beaux	B OW 
beddoe	B EH D OW 
beguiling	B IH G AY L IH NG 
behest	B IH HH EH S T 
bennington	B EH N IH NG T AH N 
biltmore	B IH L T M AO R 
blends	B L EH N D Z 
blissfully	B L IH S F AH L IY 
blocker	B L AA K ER 
bloodstain	B L AH D S T EY N 
boyce	B OY S 
braxton	B R AE K S T AH N 
brewers	B R UW ER Z 
brigante	B R IY G AA N T IY 
bronstein	B R AA N S T IY N 
bungling	B AH NG G AH L IH NG 
cadre	K AE D R IY 
cadwalader	K AE D W AO L AH D ER 
caked	K EY K T 
calderon	K AO L D ER AA N 
candidly	K AE N D IH D L IY 
carbohydrates	K AA R B OW HH AY D R EY T S 
carden	K AA R D AH N 
champa	K AA M P AH 
chancery	CH AE N S ER IY 
chengdu	CH EH NG D UW 
clough	K L AW 
clumps	K L AH M P S 
coexistence	K OW IH G Z IH S T AH N S 
comely	K AH M L IY 
commuters	K AH M Y UW T ER Z 
commuting	K AH M Y UW T IH NG 
contributors	K AH N T R IH B Y AH T ER Z 
convents	K AA N V AH N T S 
coped	K OW P T 
cosgrove	K AA S G R AH V 
counterproductive	K AW N T ER P R AH D AH K T IH V 
crispin	K R IH S P IH N 
cristiano	K R IY S T IY AA N OW 
criterion	K R AY T IH R IY AH N 
crusts	K R AH S T S 
curvature	K ER V AH CH ER 
deferred	D IH F ER D 
deficits	D EH F IH S IH T S 
demure	D IH M Y UH R 
despairing	D IH S P EH R IH NG 
detweiler	D EH T W AY L ER 
diced	D AY S T 
dilapidated	D IH L AE P AH D EY T IH D 
dilithium	D AY L IH TH IY AH M 
diller	D IH L ER 
dissipated	D IH S AH P EY T IH D 
distinguishes	D IH S T IH NG G W IH SH IH Z 
divvy	D IH V IY 
doktor	D AA K T ER 
donne	D AH N 
duarte	D W AA R T EY 
durante	D UH R AA N T IY 
dweller	D W EH L ER 
earthworms	ER TH W ER M Z 
edema	IH D IY M AH 
endow	EH N D AW 
eno	EH N OW 
entertains	EH N T ER T EY N Z 
entrenched	EH N T R EH N CH T 
epidemics	EH P AH D EH M IH K S 
expeditionary	EH K S P AH D IH SH AH N EH R IY 
faisal	F EY Z AH L 
falsify	F AO L S AH F AY 
familiarize	F AH M IH L Y ER AY Z 
fandango	F AE N D AE NG G OW 
favoritism	F EY V ER IH T IH Z AH M 
felton	F EH L T AH N 
ferment	F ER M EH N T 
flaring	F L EH R IH NG 
flightless	F L AY T L AH S 
flirtatious	F L ER T EY SH AH S 
francais	F R AA N S EY 
freeloader	F R IY L OW D ER 
freshest	F R EH SH AH S T 
gargoyle	G AA R G OY L 
generalissimo	JH EH N EH R AH L IH S IH M OW 
genial	JH IY N Y AH L 
gerhardt	G ER HH AA R T 
geriatric	JH EH R IY AE T R IH K 
ghosh	G AA SH 
gibert	G IH B ER T 
giddens	G IH D AH N Z 
glandular	G L AE N JH AH L ER 
gliders	G L AY D ER Z 
gonads	G OW N AE D Z 
grantham	G R AE N TH AH M 
gymnasts	JH IH M N AE S T S 
halloway	HH AE L OW W EY 
harmonium	HH AA R M OW N IY AH M 
harvests	HH AA R V AH S T S 
hashem	HH AE SH IH M 
hiatus	HH AY EY T AH S 
hora	HH AO R AH 
horman	HH AO R M AH N 
huntley	HH AH N T L IY 
hypermarket	HH AY P ER M AA R K IH T 
hypotheses	HH AY P AA TH AH S IY Z 
ichikawa	IH CH IY K AA W AA 
idolized	AY D AH L AY Z D 
importer	IH M P AO R T ER 
indoctrination	IH N D AA K T R AH N EY SH AH N 
infiltrating	IH N F IH L T R EY T IH NG 
ingmar	IH NG M AA R 
insurgency	IH N S ER JH AH N S IY 
intercontinental	IH N T ER K AA N T AH N EH N T AH L 
iwai	AY W AY 
jaundice	JH AO N D AH S 
jaunt	JH AO N T 
jorgensen	JH AO R G IH N S AH N 
josephson	JH OW S AH F S AH N 
kazoo	K AH Z UW 
kenworth	K EH N W ER TH 
kickbacks	K IH K B AE K S 
kido	K IY D OW 
kilometre	K IH L AO M AH T ER 
kirchner	K ER K N ER 
kiska	K IH S K AH 
koppel	K AA P AH L 
krieger	K R IY G ER 
laing	L AA IH NG 
lakeside	L EY K S AY D 
lamarr	L AA M AA R 
laptops	L AE P T AA P S 
latina	L AA T IY N AH 
latvian	L AE T V IY AH N 
leafy	L IY F IY 
leavitt	L EH V IH T 
legless	L EH G L AH S 
lenders	L EH N D ER Z 
limousines	L IH M AH Z IY N Z 
lob	L AA B 
lockheed	L AA K HH IY D 
lumpur	L AH M P UH R 
lye	L AY 
magnusson	M AE G N AH S AH N 
maire	M EH R 
manley	M AE N L IY 
marrakech	M AE R AH K EH SH 
martyn	M AA R T IH N 
marybeth	M EH R IY B EH TH 
mcauliffe	M AH K AO L AH F 
mcfadden	M AH K F AE D AH N 
mckee	M AH K IY 
mcveigh	M AH K V EY 
microchips	M AY K R OW CH IH P S 
misogynist	M IH Z AH JH IH N IH S T 
mitra	M IH T R AH 
mitten	M IH T AH N 
mopped	M AA P T 
moriarity	M AO R IY AA R AH T IY 
morry	M AO R IY 
mumbled	M AH M B AH L D 
mura	M UH R AH 
mutating	M Y UW T EY T IH NG 
mutineers	M Y UW T IH N IH R Z 
negotiators	N IH G OW SH IY EY T ER Z 
nester	N EH S T ER 
nowak	N OW V AE K 
offing	AO F IH NG 
ogle	OW G AH L 
ona	AH N AA 
opaque	OW P EY K 
organizes	AO R G AH N AY Z IH Z 
ostracized	AO S T R AH S AY Z D 
pancreatic	P AE N K R IY AE T IH K 
paragraphs	P AE R AH G R AE F S 
passerby	P AE S ER B IY 
pater	P EY T ER 
pathogen	P AE TH AH JH AH N 
perennial	P ER EH N IY AH L 
permian	P ER M IY AH N 
personals	P ER S IH N IH L Z 
petrovic	P IH T R AA V IH K 
phenix	F EH N IH K S 
philandering	F AY L AE N D ER IH NG 
pinging	P IH NG IH NG 
pirated	P AY R AH T IH D 
plath	P L AE TH 
plessis	P L EH S IH S 
polices	P AH L IY S IH Z 
pontiff	P AA N T AH F 
poppea	P AA P IY AH 
posterior	P AO S T IH R Y ER 
precede	P R IH S IY D 
pretenders	P R IY T EH N D ER Z 
pri	P R AY 
principally	P R IH N S IH P L IY 
propel	P R AH P EH L 
proprietary	P R AH P R AY AH T EH R IY 
prost	P R AA S T 
pullman	P UH L M AH N 
quakes	K W EY K S 
quintal	K W IH N T AH L 
quirk	K W ER K 
rahman	R AA M AH N 
rekindle	R IY K IH N D AH L 
relocating	R IY L OW K EY T IH NG 
renal	R IY N AH L 
repository	R IY P AA Z AH T AO R IY 
repossess	R IY P AH Z EH S 
robles	R OW B AH L Z 
rojo	R OW JH OW 
roomful	R UW M F UH L 
rotter	R AA T ER 
roughneck	R AH F N EH K 
rox	R AA K S 
ruger	R UW G ER 
runyon	R AH N Y AH N 
sacking	S AE K IH NG 
saipan	S EY P AH N 
searle	S ER L 
separatist	S EH P ER AH T IH S T 
setter	S EH T ER 
shibata	SH IY B AA T AH 
shipmate	SH IH P M EY T 
shockwave	SH AA K W EY V 
showa	SH OW AH 
siobhan	SH AW B AA N 
sitters	S IH T ER Z 
smearing	S M IH R IH NG 
spangler	S P AE NG G AH L ER 
spiking	S P AY K IH NG 
sprawled	S P R AO L D 
sprawling	S P R AO L IH NG 
spry	S P R AY 
squelching	S K W EH L CH IH NG 
stackhouse	S T AE K HH AW S 
standardized	S T AE N D ER D AY Z D 
stasi	S T AA S IY 
statesmen	S T EY T S M IH N 
stealer	S T IY L ER 
stephane	S T EH F AA N 
stillman	S T IH L M AH N 
stilwell	S T IH L W EH L 
stoops	S T UW P S 
streamers	S T R IY M ER Z 
striding	S T R AY D IH NG 
swaggering	S W AE G ER IH NG 
sweatshop	S W EH T SH AA P 
swope	S W OW P 
tacoma	T AH K OW M AA 
takemura	T AA K EY M UH R AA 
talkers	T AO K ER Z 
tangerines	T AE N JH ER IY N Z 
tantamount	T AE N T AH M AW N T 
tardiness	T AA R D IY N AH S 
tearfully	T IH R F AH L IY 
teenie	T IY N IY 
template	T EH M P L AH T 
terada	T ER AA D AH 
theologian	TH IY AH L OW JH IY AH N 
thirsting	TH ER S T IH NG 
tol	T AO L 
toller	T OW L ER 
tramping	T R AE M P IH NG 
treetop	T R IY T AO P 
tugs	T AH G Z 
undermines	AH N D ER M AY N Z 
unraveling	AH N R AE V AH L IH NG 
vanni	V AE N IY 
vasseur	V AE S ER 
viaduct	V AY AH D AH K T 
volker	V OW L K ER 
vuitton	V UH T AO N 
weissman	W AY S M AH N 
whisker	W IH S K ER 
windup	W AY N D AH P 
wingspan	W IH NG S P AE N 
woodman	W UH D M AH N 
wrenches	R EH N CH IH Z 
wrenching	R EH N CH IH NG 
yeltsin	Y EH L T S AH N 
yeoman	Y OW M AH N 
yohei	Y OW HH EY 
zacharias	Z AE K ER AY AH S 
zeroed	Z IY R OW D 
zloty	Z L AO T IY 
zuckerberg	Z AH K ER B ER G 
acacia	AH K EY SH AH 
acrobatics	AE K R AH B AE T IH K S 
ahearn	AH HH ER N 
alisa	AH L IY S AH 
ambiance	AE M B IY AH N S 
appendage	AH P EH N D IH JH 
aprons	EY P R AH N Z 
aqaba	AH K AA B AH 
arguably	AA R G Y UW AH B L IY 
assuredly	AH SH UH R AH D L IY 
atheism	AH TH AY S AH M 
atoll	AE T AA L 
auditors	AA D AH T ER Z 
auditory	AO D IH T AO R IY 
avila	AH V IH L AH 
avocados	AE V AH K AA D OW Z 
bacall	B AH K AO L 
bagpipe	B AE G P AY P 
barbiturates	B AA R B IH CH ER AH T S 
basie	B EY Z IY 
beefs	B IY F S 
beleaguered	B IH L IY G ER D 
biohazard	B AY OW HH AE Z ER D 
bisbee	B IH S B IY 
blackstone	B L AE K S T OW N 
blaisdell	B L EY S D AH L 
bleecker	B L IY K ER 
blogs	B L AO G Z 
boche	B AA CH 
bosch	B AO SH 
boulevards	B UH L AH V AA R D Z 
brightens	B R AY T AH N Z 
broadsword	B R AO D S AO R D 
buccaneer	B AH K AH N IY R 
buchan	B AH K AH N 
burnout	B ER N AW T 
campfires	K AE M P F AY ER Z 
canaveral	K AH N AE V ER AH L 
cantaloupe	K AE N T AH L OW P 
cardassians	K AH R D AA S IY AH N Z 
caretakers	K EH R T EY K ER Z 
carthage	K AA R TH AH JH 
catalogues	K AE T AH L AO G Z 
cavalcade	K AE V AH L K EY D 
chiseled	CH IH Z AH L D 
circulatory	S ER K Y AH L AH T AO R IY 
citron	S IH T R AH N 
clumsiness	K L AH M Z IY N AH S 
cocoons	K AH K UW N Z 
colonialism	K AH L OW N IY AH L IH Z AH M 
congenial	K AH N JH IY N Y AH L 
constabulary	K AH N S T AE B Y AH L EH R IY 
conveyance	K AH N V EY AH N S 
cortical	K AO R T AH K AH L 
cowan	K AW AH N 
crosswalk	K R AA S W AA K 
crystalline	K R IH S T AH L AY N 
dara	D AE R AH 
dees	D IY Z 
defunct	D IH F AH NG K T 
dimly	D IH M L IY 
disappoints	D IH S AH P OY N T S 
disembodied	D IH S IH B AA D IY D 
distemper	D IH S T EH M P ER 
dogfight	D AA G F AY T 
dryden	D R AY D AH N 
dubuque	D AH B Y UW K 
dunkin	D AH NG K IH N 
dyck	D AY K 
dyeing	D AY IH NG 
earner	ER N ER 
eclipsed	IH K L IH P S T 
edu	EH D Y UW 
effected	IH F EH K T AH D 
effigy	EH F IH JH IY 
enderby	EH N D ER B IY 
engravings	IH N G R EY V IH NG Z 
enslavement	EH N S L EY V M AH N T 
enveloped	EH N V EH L AH P T 
enviable	EH N V IY AH B AH L 
erno	EH R N OW 
especial	AH S P EH SH AH L 
eventuality	AH V EH N CH UW AE L IH T IY 
everythings	EH V R IY TH IH NG Z 
excavations	EH K S K AH V EY SH AH N Z 
farmed	F AA R M D 
fecal	F IY K AH L 
fellowes	F EH L OW Z 
felonious	F EH L OW N IY AH S 
financiers	F IH N AH N S IH R Z 
flatbush	F L AE T B UH SH 
flurry	F L ER IY 
fortunato	F AO R T UW N AA T OW 
frederickson	F R EH D ER IH K S AH N 
frescoes	F R EH S K OW Z 
frugal	F R UW G AH L 
fukuda	F UW K UW D AH 
gallardo	G AA L AA R D OW 
gambit	G AE M B IH T 
gatherers	G AE DH ER ER Z 
gearbox	G IH R B AA K S 
goop	G UW P 
gracia	G R AA CH AH 
gremlins	G R EH M L AH N Z 
gridlock	G R IH D L AA K 
grisby	G R IH S B IY 
haden	HH EY D AH N 
hallet	HH AE L IH T 
halliburton	HH AE L IH B ER T AH N 
harkin	HH AA R K IH N 
harrisburg	HH AE R IH S B ER G 
hideouts	HH AY D AW T S 
hirohito	HH IH R OW HH IY T OW 
hiroyuki	HH IH R OW Y UW K IY 
holberg	HH OW L B ER G 
hovers	HH AH V ER Z 
howled	HH AW L D 
humdrum	HH AH M D R AH M 
hygienist	HH AY G IY N IH S T 
hyphen	HH AY F AH N 
icicles	AY S IH K AH L Z 
implementing	IH M P L AH M EH N T IH NG 
impostors	IH M P AO S T ER Z 
indecision	IH N D IH S IH ZH AH N 
inefficiency	IH N IH F IH SH AH N S IY 
inexorably	IH N EH K S ER AH B L IY 
ingrained	IH N G R EY N D 
insipid	IH N S IH P AH D 
interrogator	IH N T EH R AH G EY T ER 
irradiated	IH R EY D IY EY T IH D 
ishtar	IH SH T AA R 
jacquot	ZH AH K W OW 
julianne	JH UW L IY EH N 
jurek	JH UH R EH K 
kagawa	K AH G AA W AH 
katyn	K EY T IH N 
kigali	K IY G AA L IY 
kiln	K IH L N 
kroger	K R OW G ER 
kurokawa	K UW R OW K AA W AH 
lagged	L AE G D 
lamented	L AH M EH N T IH D 
landfall	L AE N D F AO L 
larks	L AA R K S 
layover	L EY OW V ER 
linnea	L IH N IY AH 
linnet	L IH N IH T 
lolli	L AA L IY 
longhorns	L AO NG HH AO R N Z 
